Yield_Pass_Fail,Sensor#60,Sensor#248,Sensor#520,Sensor#104,Sensor#349,Sensor#469,Sensor#289,Sensor#65,Sensor#206,Sensor#572,Sensor#386,Sensor#131,Sensor#34,Sensor#66,Sensor#511,Sensor#478,Sensor#113,Sensor#563,Sensor#20,Sensor#342,Sensor#378,Sensor#127,Sensor#427,Sensor#154,Sensor#347,Sensor#426,Sensor#22,Sensor#29,Sensor#125,Sensor#346,Sensor#153,Sensor#406,Sensor#574,Sensor#183,Sensor#123,Sensor#283,Sensor#130,Sensor#571,Sensor#417,Sensor#288,Sensor#453,Sensor#578,Sensor#32,Sensor#291,Sensor#71,Sensor#42,Sensor#39,Sensor#421,Sensor#211,Sensor#156
0,18.6827,0.0398,8.5537,-0.0078,0.0475,27.405,0.0036,21.3173,11.21,2.3358,0.0067,0.7025,8.8388,28.9468,51.4469,7.4078,0.4647,266.692,12.4871,3.5425,0.0012,3.198,1.1099,0.0108,3.5845,3.7328,-5554.25,65.4667,15.74,4.8974,0.392,0.0124,0.3599,8.95,3.776,0.0057,-0.3311,523.0227,5.9924,0.1258,5.4793,15.4085,3.7759,0.1452,609.9064,4.07,85.1414,1.7603,0.1816,0.52
0,20.0455,0.1959,42.7117,-0.007,0.0211,48.39,0.0046,19.9545,9.6,2.3483,0.0273,0.7484,9.1784,26.3171,200.7117,6.4725,0.4586,264.596,12.4871,2.5763,0.0018,2.564,1.2708,0.0123,3.2216,43.7898,-4520.75,62.3667,15.9,3.7022,4.5487,0.009,0.3146,11.69,3.628,0.0104,0.0946,535.24,4.1509,1.3404,4.8115,13.3972,3.502,0.1452,608.1282,3.698,88.3282,3.3921,0.064,0.52
0,2.23,0,0,-0.0085,0.0192,129.5964,0.0026,17.77,3.12,2.2418,0,0.6304,8.7548,27.4876,55.4572,2.0773,0,250.402,12.5535,1.1579,0.0018,2.411,0.8443,0.0082,2.2424,4.9067,-5333.75,66.4333,15.65,4.9451,0.4648,0.0199,0.2428,4.5,5.675,0.0024,-3.543,531.1982,2.3362,0.1368,4.7528,10.8309,3.4633,0.0635,609.7173,5.205,86.2183,0.715,0.0755,0.24
0,-10.6036,0.051,10.9695,-0.0089,0.0176,82.6132,0.0016,30.6036,10.31,2.3676,0.0082,0.6421,8.5405,37.0555,56.4972,6.8752,0.4654,0,12.4661,3.1084,0.0015,2.441,0.5426,0.0053,5.6662,10.985,-6402.75,65.5,15.82,3.867,1.0729,0.0203,0.2397,10.97,4.465,0.002,0.2838,535.2709,3.1583,0.2909,4.8155,10.1233,4.6529,0.0744,597.1818,3.732,86.8378,0.6016,0.0736,0.31
0,2.1927,0,0,-0.013,0.0262,414.5522,0.0049,17.8073,8.99,1.4106,0,0.6976,8.3267,25.1118,29.2027,6.1039,0,274.94,12.5263,2.8571,0.0013,2.582,1.5998,0.0155,0,5.7573,-5351.75,72.6667,15.75,0,0.5724,0.0237,0.1166,16,4.25,0.0065,-0.8042,536.4482,3.1578,0.173,6.1324,8.2645,3.3496,0.0734,629.8845,3.131,86.889,2.0732,0.0833,0.25
0,5.9282,0,0,-0.011,0.0198,335.6847,0.0035,14.0718,6.99,1.7961,0,0.655,8.3271,17.7128,45.3001,4.936,0,270.276,12.5596,2.121,0.0015,2.658,1.0873,0.0106,0,13.2875,-5638.25,73.0222,15.72,0,1.2083,0.0308,1.2113,13.74,4.682,0.0045,-0.9934,569.9964,0.9717,0.3498,5.8179,67.4386,3.5263,0.0754,620.01,5.129,87.0707,1.3999,0.0631,0.24
0,-3.1255,0,0,-0.0129,0.0203,157.7371,0.0018,23.1255,5.98,1.9943,0,0.8405,8.5862,30.4987,20.9709,4.0177,0,264.272,12.5786,1.8023,0.0013,3.087,0.5555,0.0054,0,4.1401,-5870.5,68.6111,15.71,0,0.4081,0.0385,0.2454,14,2.632,0.0023,-2.08,528.4045,4.6164,0.127,5.059,12.3064,3.4614,0.074,614.9409,2.817,86.5384,0.6876,0.0803,0.3
0,0.2336,0,0,-0.0129,0.027,0,0.0049,19.7664,9.63,1.4106,0,0.7048,8.6968,27.5825,37.2816,6.5115,0,264.272,12.5263,3.1167,0.0008,2.533,1.5946,0.0154,0,4.4363,-5329.75,67.4889,15.71,0,0.4415,0.0208,0.1166,14.54,4.04,0.0068,0,536.4482,2.8551,0.1306,5.635,8.2645,3.4184,0.0734,631.22,2.537,86.4285,2.181,0.0822,0.25
0,-5.3264,0,0,-0.0104,0.0163,144.7517,0.0025,25.3264,7.65,2.0133,0,0.8741,8.3675,36.1696,40.4332,5.4535,0,264.272,12.5788,2.5024,0.0009,2.985,0.7666,0.0075,0,3.2501,-5636,73.0667,15.73,0,0.3304,0.0426,0.2456,11.18,2.398,0.0031,0.3784,533.1364,2.5228,0.1024,6.7912,12.2013,3.3759,0.0656,628.8327,1.582,86.8342,0.9079,0.0593,0.26
0,6.3436,0,0,-0.013,0.0674,146.9189,0.0019,13.6564,5.46,1.8846,0,0.752,8.5266,19.3697,54.6154,3.7264,0,248.644,12.4273,1.6017,0.0013,2.634,0.6189,0.0061,2.7025,6.1268,-5467.5,68.8778,15.67,4.7965,0.6124,0.0234,0.1762,8.48,4.429,0.0034,0.4258,534.96,2.9131,0.1779,4.1727,9.3484,3.4131,0.0893,619.1936,3.021,86.924,1.0635,0.2791,0.33
0,-2.3127,0,0,-0.0102,0.0387,571.1871,0.002,22.3127,7.09,2.1327,0,0.655,8.5615,28.8298,61.0086,4.7977,0,254.532,12.651,2.176,0.0012,2.658,0.5656,0.0055,0,3.21,-5300.5,74.4667,15.72,0,0.3268,0.0308,0.1867,16.1,4.682,0.0038,-0.9934,525.2427,3.6377,0.0935,6.7224,8.7554,3.5283,0.0571,628.4473,2.851,87.1811,1.1789,0.1543,0.25
0,-7.8309,0.1198,26.109,-0.0097,0.0223,189.3778,0.0024,27.8309,12.44,2.339,0.0162,0.8284,8.5952,35.2894,64.2487,8.6692,0.459,0,12.4661,3.7986,0.002,2.898,0.7137,0.0069,3.0229,6.9018,-5418,68.5444,15.8,3.0535,0.6742,0.0256,0.3425,14.96,2.824,0.0033,1.419,534.6436,4.5746,0.1958,5.7971,14.6437,3.3719,0.0744,629.0709,5.211,86.7997,0.9465,0.0746,0.31
0,1.3936,0.0236,5.1542,-0.0111,0.0156,279.8434,0.0041,18.6064,9.82,2.2895,0.0067,0.8349,9.6136,25.5648,20.7207,6.4565,0.457,260.756,12.5488,2.527,0.0021,2.735,1.2675,0.0123,3.7118,2.1899,-5274.25,66.8222,15.82,4.5398,0.2175,0.035,0.3893,4.49,3.234,0.0055,-2.647,531.1709,3.0191,0.071,5.437,17.0028,3.4197,0.0523,616.6255,4.696,86.9287,1.7538,0.0681,0.21
0,-2.1136,0,0,-0.0113,0.0215,548.8165,0.0017,22.1136,7.28,2.2909,0,0.6888,8.451,29.2308,44.0529,4.9854,0,264.272,12.6241,2.2209,0.0016,2.654,0.5352,0.0052,0,2.9315,-5158.75,70.9778,15.79,0,0.2892,0.0226,0.2908,14.13,4.029,0.0022,-0.4258,531.7464,2.9226,0.0848,6.4289,12.6938,3.4193,0.072,616.0318,2.958,87.0768,0.7404,0.0714,0.26
0,1.1664,0,0,-0.0142,0,698.7529,0,18.8336,5.33,2.3435,0,0,8.1728,25.8939,54.833,3.4878,0,256.73,12.4555,1.7756,0.0024,0,0,0,0,0,-5153.25,71.2667,0,0,0,0,0.4154,8.74,0,0,0,530.3709,3.5585,0,5.7291,17.7267,3.4912,0.0697,617.38,2.863,86.3506,0,0,0.29
0,1.0336,0,0,-0.0119,0.0243,432.4538,0.0026,18.9664,11.06,2.1127,0,0.7611,8.5891,24.3057,36.2869,7.4828,0,0,12.4618,3.2653,0.0014,2.776,0.8006,0.0078,0,3.7934,-6900.5,67.0222,15.95,0,0.3602,0.0118,0.2772,10.69,3.383,0.0035,0.4258,534.8336,3.4488,0.1188,6.799,13.121,4.6303,0.106,619.0509,2.915,86.7366,1.0932,0.0858,0.66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-2.8055,0,0,-0.0113,0.0318,561.0504,0.0045,22.8055,7.46,1.9812,0,0.7202,9.6515,30.6359,48.5651,5.1201,0,269.558,12.5439,2.1918,0.0017,2.594,1.4533,0.0141,2.8198,4.9712,-5361.75,74.6,15.84,5.8566,0.4805,0.0077,0.2753,14.55,4.185,0.0056,-0.615,530.0846,2.6882,0.1392,6.2449,13.8979,3.4616,0.0901,621.0336,2.374,86.7475,1.7086,0.0946,0.35
0,-0.95,0.2932,184.3488,-0.0127,0.0281,0,0.004,20.95,6.28,2.0854,0.2073,0.81,8.662,31.2129,40.118,4.3441,0.159,273.116,12.4845,1.9135,0.0016,2.888,1.2288,0.0119,0,4.3447,-5207.75,69.0111,15.52,0,0.4186,0.0387,0.3551,13.22,2.843,0.0059,-2.222,531.8136,2.2408,0.1225,6.9795,17.0283,3.4067,0.1405,618.1018,2.743,86.2277,1.7839,0.1228,0.44
0,1.9145,0,0,-0.0029,0.0395,222.5071,0.0076,18.0855,8.92,1.7613,0,0.6383,8.8513,22.9765,184.3478,6.2091,0,264.272,12.4753,2.5068,0.002,2.738,2.4264,0.0232,2.7762,3.6098,-5411.25,69.7778,15.9,4.4644,0.3676,0.0212,0.2759,9.88,4.461,0.0086,0,535.5691,2.5685,0.111,6.7268,15.6663,3.4064,0.1819,608.1973,3.417,87.0205,2.8483,0.1354,0.64
0,0.1873,0,0,-0.0137,0.0248,0,0.0037,19.8127,5.2,1.9524,0,0.8826,8.6544,26.0522,27.8134,3.4793,0,268.152,12.5412,1.7606,0.0012,3.156,1.1702,0.0113,0,6.133,-5359.25,69.4222,15.8,0,0.6247,0.0323,0.4464,9.91,2.418,0.0049,-2.033,533.9718,4.2249,0.1935,7.849,22.8636,3.3619,0.0731,616.0691,2.584,86.33,1.5628,0.084,0.31
0,-2.2382,0,0,-0.0109,0.0237,468.684,0.0041,22.2382,8,2.0831,0,0.6595,8.7512,30.0506,43.2184,5.1526,0,264.272,12.3896,2.3535,0.0019,2.671,1.2665,0.0123,0,2.6212,-5442.25,72.2667,15.77,0,0.2697,0.0321,0.4774,12.83,4.775,0.0055,-0.0946,528.7918,5.8358,0.0841,5.0974,22.9183,3.305,0.0633,621.7491,2.586,86.446,1.7298,0.0891,0.23
0,-6.6464,0,0,-0.009,0.0168,236.6708,0.0037,26.6464,6.96,2.22,0,0.733,8.8215,34.2167,42.2222,4.6056,0,269.226,12.3841,1.9195,0.0013,2.531,1.1707,0.0114,0,3.3871,-5441.25,70.9778,15.96,0,0.3228,0.0099,0.2848,11.96,4.232,0.0056,-0.2365,528.5973,2.2532,0.1144,5.6322,12.8307,3.3168,0.0902,621.7009,3.136,86.4386,1.7425,0.068,0.35
0,-0.18,0.0246,5.4034,-0.0122,0.0332,0,0.0067,20.18,4.79,1.9309,0.0057,0.6383,9.219,25.6726,48.3112,3.2597,0.4553,0,12.4753,1.5618,0.0018,2.738,2.0481,0.0197,2.3843,13.9615,-5328.25,63.9111,15.9,5.6155,1.3179,0.0212,0.2288,8.5,4.461,0.0093,0,534.1218,2.7397,0.3915,7.0539,11.8492,3.4083,0.1819,602.5555,2.163,86.336,2.9203,0.1165,0.64
0,-1.1927,0,0,-0.0047,0.0473,299.314,0.0109,21.1927,6.34,2.2354,0,0.7661,8.7977,24.2607,55.0265,4.3639,0,258.406,10.7029,1.9278,0.0022,2.572,3.5863,0.0341,0,3.3751,-6069.75,67.9889,15.8,0,0.3514,0.0087,0.2785,12.06,3.038,0.0109,0,533.2464,2.2581,0.1035,6.0827,12.4598,3.5296,4.4163,608.79,3.872,86.6693,3.6515,0.1587,12.71
0,2.1973,0,0,-0.0104,0.0222,535.2089,0.0025,17.8027,5.55,2.2455,0,0.8536,8.3179,18.891,28.8462,3.7115,0,251.138,12.1298,1.7947,0.0013,2.911,0.7698,0.0075,0,3.8603,-5517.75,74.5889,15.92,0,0.3654,0.0415,0.26,5.66,3.816,0.0024,0,534.6127,5.6233,0.1105,5.5918,11.5777,3.3672,0.174,622.3754,3.074,86.5962,0.7521,0.0834,0.66
0,1.1473,0,0,-0.017,0.0191,889.065,0.004,18.8527,8.25,2.1207,0,0.8414,8.2776,27.8836,15.2493,5.5049,0,265.16,12.5222,2.091,0.0015,2.832,1.2611,0.0122,0,1.6606,-5442,76.0222,15.77,0,0.1684,0.0326,0.1986,15.86,3.129,0.0056,-2.647,530.7036,9.69,0.0638,4.7378,9.363,3.2639,0.0758,609.3064,3.023,86.8475,1.7835,0.0699,0.32
0,5.6309,0.0184,4.026,-0.0097,0.026,64.288,0.0051,14.3691,7.06,2.2732,0.0055,0.6764,8.5288,19.8754,26.943,5.0146,0.4566,267.996,12.4998,2.3002,0.0021,2.708,1.5908,0.0153,2.6238,3.9311,-5121,69.3889,15.9,4.7668,0.4243,0.0119,0.1496,7.7,4.809,0.0068,-0.1419,538.8482,3.8045,0.1253,4.6274,6.5829,3.3047,0.0473,618.6318,3.182,86.6692,2.2145,0.0941,0.17
0,4.1691,0,0,-0.0121,0.0225,306.3018,0.0022,15.8309,10.11,2.2909,0,0.6888,8.7556,22.3694,39.6285,6.8146,0,256.842,12.5914,3.0013,0.0012,2.654,0.6601,0.0065,0,2.5595,-5187.25,68.0889,15.79,0,0.2456,0.0226,0.2908,15.26,4.029,0.0026,-0.4258,531.7464,2.3278,0.0812,6.7057,12.6938,3.3088,0.0665,637.4973,4.194,86.5808,0.8173,0.0841,0.34
0,-1.4327,0.0658,14.0359,-0.0126,0.0125,637.2462,0.0015,21.4327,5.79,1.9611,0.0161,0.8238,8.7646,29.6922,41.3519,3.8467,0.4691,253.14,12.58,1.6205,0.0023,2.803,0.4922,0.0048,2.5682,12.7932,-5357.25,67.2667,15.69,6.3794,1.2092,0.0214,0.2474,6.86,2.941,0.0024,-3.072,531.4591,2.4678,0.342,5.8988,12.6151,3.2946,0.0544,617.1745,3.124,86.3742,0.7463,0.0474,0.19
0,2.0673,0,0,-0.0134,0.0156,428.584,0.0017,17.9327,9.6,1.9943,0,0.8238,9.0639,24.3585,32,6.3906,0,264.272,12.5743,2.8179,0.0014,2.803,0.5434,0.0053,2.9793,3.4841,-5605,73.5,15.69,7.3893,0.3426,0.0214,0.2454,14.53,2.941,0.0027,-3.072,528.4045,1.6953,0.1129,4.8075,12.3064,3.2302,0.055,610.1709,3.087,86.95,0.832,0.0706,0.2
0,3.1427,0,0,-0.0116,0.0235,679.6644,0.0034,16.8573,6.05,2.0329,0,0.7069,9.0402,45.8089,43.0108,4.1328,0,266.062,12.5718,1.5433,0.0017,2.723,1.0494,0.0102,2.9659,4.5534,-5313.5,69.6556,15.77,6.3115,0.4457,0.0116,0.2568,12.48,3.853,0.0043,-0.3311,532.1382,2.8841,0.1261,5.1599,12.6333,3.4446,0.0976,619.2064,4.31,85.9998,1.2951,0.0845,0.37
0,3.3882,0.0265,5.6947,-0.0093,0.022,245.8546,0.0026,16.6118,5.79,1.974,0.009,0.8336,9.7137,20.636,54.9865,3.9686,0.4653,264.272,12.4716,1.654,0.0016,2.926,0.7519,0.0073,0,5.5261,-5490.5,67.9667,15.78,0,0.5485,0.0289,0.2824,16.02,2.948,0.0034,-2.789,529.9445,2.7625,0.1617,5.4696,14.3055,3.367,0.0662,609.4973,2.585,86.9537,0.9575,0.0809,0.23
0,-1.3127,0.019,4.1469,-0.0112,0.0273,770.1524,0.0023,21.3127,6.28,1.9739,0.0045,0.7931,8.897,29.3734,30.3233,4.3131,0.4593,249.998,12.4804,2.4013,0.0011,2.792,0.738,0.0072,3.4587,11.5822,-5863,68.3556,15.64,4.9093,1.0925,0.0336,0.3171,14.07,3.283,0.0026,-2.128,530.5109,2.81,0.3102,6.6499,16.0625,3.5058,0.0673,624.7109,0,87.0027,0.8033,0.0943,0.25
0,-0.8727,0.0209,4.5499,-0.0113,0.0195,618.75,0.0016,20.8727,6.39,2.3259,0.0058,0.5949,8.6149,26.308,46.7991,4.3145,0.4596,264.272,12.4996,2.1236,0.002,2.42,0.4807,0.0047,0,5.935,-5305,73.1556,15.7,0,0.5938,0.0216,0.2182,6.12,6.086,0.0029,-3.591,530.9809,2.087,0.1772,4.8403,9.3821,3.3823,0.0561,611.2764,3.014,86.7323,0.8444,0.078,0.21
0,-2.8818,0.02,4.3948,-0.0087,0.015,229.3691,0.0045,22.8818,7.89,2.0161,0.0059,0.7586,8.8132,29.7075,59.5136,5.3451,0.4549,271.168,12.4706,2.5121,0.0017,2.453,1.3251,0.0129,5.1624,4.1521,-5389.75,68.1667,15.89,6.2278,0.4214,0.012,0.3213,10.27,4.392,0.0074,-0.5204,531.4073,3.6815,0.1284,5.6899,15.9361,3.3838,0.0585,616.4055,2.244,86.52,2.3022,0.0737,0.21
0,22.4345,0.0947,20.7724,-0.0054,0.0431,10.6532,0.0055,17.5655,8.88,2.0018,0.0151,0.7608,8.7599,25.4333,102.3256,6.0666,0.4557,263.794,12.5235,2.8337,0.0012,2.713,1.7578,0.0169,24.6018,8.6922,-5440.5,68.3444,15.83,23.7781,0.8146,0.0095,0.2766,5.53,3.448,0.0063,0,536.5182,5.9924,0.2232,3.8448,13.8172,3.4132,0.096,611.83,1.886,86.838,1.948,0.1816,0.34
1,6.5645,0.0275,5.8767,-0.0047,0.0228,65.5034,0.0012,13.4355,3.1,2.2544,0.0089,0.7965,8.9475,16.9701,80.6366,2.0751,0.4677,264.272,12.4992,1.018,0.0019,2.95,0.3632,0.0036,2.3593,5.2331,-5370.25,72.4889,15.89,6.7157,0.5178,0.0148,0.2994,6.9,3.365,0.0024,-0.4258,531.8455,4.1393,0.1502,4.0206,13.283,3.3099,0.054,618.8064,2.774,86.9612,0.7452,0.0776,0.19
0,15.1073,0.1219,25.712,-0.0065,0.0131,53.8813,0.0062,24.8927,10.05,2.2614,0.0201,0.8374,8.3754,34.6316,93.8462,6.7649,0.4741,258.752,12.5563,2.9288,0.0015,2.797,1.9393,0.0186,8.0408,2.3466,-5581,70.4,15.79,6.5097,0.2288,0.04,0.264,11.9,3.51,0.0069,0.2365,534.6009,2.6968,0.0797,4.5124,11.6751,3.3616,0.1575,616.4127,3.313,87.0578,2.1241,0.0429,0.49
0,-4.0373,0.0555,11.946,-0.011,0.0267,181.3105,0.0016,24.0373,9.52,1.9833,0.0159,0.7101,9.0776,29.8481,52.6674,6.2882,0.4648,0,12.5031,2.4131,0.0016,2.588,0.4986,0.0049,0,5.0026,-5246.75,63.6889,15.99,0,0.4729,0.0102,0.3697,8.71,4.361,0.0021,-0.6623,529.3827,2.4859,0.147,5.7018,18.6404,3.2181,0.0969,628.6255,3.758,86.8379,0.6191,0.083,0.4
0,0.5682,0.0359,7.7636,-0.0122,0.0183,0,0.0037,19.4318,11.19,1.9631,0.0096,0.8244,8.7994,24.9899,36.7722,7.684,0.4619,0,12.5302,3.1468,0.002,2.768,1.1539,0.0112,8.2859,9.495,-5932,67.8222,15.88,10.7472,0.9635,0.0328,0.3553,13.41,2.854,0.0061,-0.9461,538.3636,5.1243,0.2578,6.0179,18.1001,3.3632,0.0584,624.5673,0.9273,86.7297,1.8931,0.072,0.24
0,-2.5345,0.02,4.3403,-0.0119,0.0228,399.2826,0.0025,22.5345,4.16,2.3473,0.0062,0.5812,8.8581,28.3035,37.0137,2.7794,0.4613,260.832,12.5488,1.2576,0.0013,2.521,0.7743,0.0075,0,5.3281,-5394.75,70.3111,15.77,0,0.5132,0.0231,0.2775,5.96,6.442,0.005,-1.608,533.2873,5.2027,0.1464,5.2607,11.8225,3.3932,0.0523,614.6945,5.31,86.9034,1.5833,0.0781,0.21
0,0.5764,0,0,-0.0095,0.0245,876.183,0.0028,19.4236,5.97,1.6633,0,0.5952,8.3273,26.0255,46.5608,4.1425,0,266.71,12.4969,1.7107,0.0018,2.536,0.8903,0.0087,0,4.469,-5348.75,71.5111,15.81,0,0.4243,0.0274,0.2937,5.02,6.101,0.004,-0.8988,534.1482,4.7154,0.1241,6.1332,17.6552,3.3643,0.0696,622.5282,3.07,87.037,1.2718,0.0778,0.23
0,-1.97,0,0,-0.0111,0.0337,285.2792,0.0022,21.97,4.15,2.0329,0,0.8137,9.088,27.9713,27.8652,2.8027,0,256.778,12.5722,1.2915,0.0013,3.064,0.7382,0.0072,0,8.257,-5377,74.9222,15.75,0,0.8071,0.0461,0.2568,6.12,2.84,0.0025,1.655,532.1382,3.3356,0.2289,5.0281,12.6333,3.503,0.5149,617.6791,2.136,87.3122,0.7325,0.1505,3.94
0,1.5527,0.0218,4.7744,-0.0106,0.0224,414.1101,0.0028,18.4473,6.47,2.1238,0.0062,0.8057,9.3851,24.4248,51.0638,4.471,0.4574,263.406,12.4859,2.1962,0.0016,2.679,0.9424,0.0092,0,3.4193,-5618.75,59.9667,15.9,0,0.3521,0.0143,0.1814,16.98,3.483,0.0045,0.7569,530.8818,2.9509,0.1029,4.2178,8.539,4.6604,0.0604,621.7109,3.576,86.2213,1.3856,0.0699,0.24
0,-4.89,0.0224,4.8546,-0.0122,0.0228,147.0348,0.0057,24.89,4.29,2.4103,0.0075,0.5708,8.8078,33.006,32.8205,2.9432,0.4606,264.272,12.5682,1.4904,0.0023,2.415,1.729,0.0166,2.6925,3.0118,-5300.25,72.1889,15.74,7.5279,0.2949,0.0228,0.4025,11.32,6.003,0.0055,-3.779,530.3073,4.0439,0.0976,4.5224,16.7005,3.3068,0.0812,616.48,0,86.9208,1.7339,0.0952,0.32
0,4.6209,0.0274,5.9606,-0.01,0.0235,62.3254,0.0029,15.3791,8.08,2.2411,0.0075,0.6847,8.3542,19.4357,70.2635,5.2964,0.46,259.566,12.5216,2.7722,0.0022,2.511,0.9075,0.0089,0,3.8598,-5563.5,74.4778,15.54,0,0.3669,0.0323,0.2426,7.6,4.44,0.0035,-0.1419,535.6282,2.7421,0.1088,5.3458,10.8262,3.329,0.0781,610.1827,3.051,86.6266,1.1096,0.0799,0.27
